Model,archType,numL,numN,numP,numEpoch,timeTrainMean,timeTrainStd,timeTestMean,timTestStd,accMean,accStd
Caffe,2,1,128,102544,5, 4.285,0.3100, 0.107,0.0085, 0.934,0.0017
Caffe,2,1,512,407824,5, 7.558,0.0648, 0.137,0.0071, 0.940,0.0009
Caffe,2,1,1024,814864,5, 14.026,0.2376, 0.187,0.0053, 0.942,0.0010
Caffe,2,1,64,51664,10, 7.834,0.3736, 0.099,0.0066, 0.946,0.0019
Caffe,2,1,128,102544,10, 8.327,0.3279, 0.108,0.0292, 0.952,0.0018
Caffe,2,1,512,407824,10, 14.863,0.1899, 0.147,0.0248, 0.956,0.0009
Caffe,2,1,1024,814864,10, 28.055,0.7610, 0.192,0.0084, 0.957,0.0005
Tensorflow,2,1,64,51664,1, 0.868,0.0204, 0.026,0.0049, 0.864,0.0102
Tensorflow,2,1,128,102544,1, 1.328,0.0319, 0.036,0.0049, 0.912,0.0040
Tensorflow,2,1,512,407824,1, 3.198,0.0248, 0.100,0.0000, 0.934,0.0049
Tensorflow,2,1,1024,814864,1, 5.452,0.0453, 0.186,0.0080, 0.938,0.0040
Tensorflow,2,1,64,51664,5, 4.584,0.0206, 0.030,0.0000, 0.932,0.0040
Tensorflow,2,1,128,102544,5, 6.542,0.0966, 0.040,0.0000, 0.944,0.0049
Tensorflow,2,1,512,407824,5, 16.428,0.1836, 0.100,0.0000, 0.956,0.0049
Tensorflow,2,1,1024,814864,5, 26.962,0.1114, 0.180,0.0000, 0.962,0.0040
Tensorflow,2,1,64,51664,10, 9.336,0.0403, 0.030,0.0000, 0.948,0.0040
Tensorflow,2,1,128,102544,10, 13.144,0.1354, 0.038,0.0040, 0.956,0.0049
Tensorflow,2,1,512,407824,10, 32.552,0.3356, 0.100,0.0000, 0.966,0.0049
Tensorflow,2,1,1024,814864,10, 53.746,0.5717, 0.184,0.0049, 0.970,0.0000
Deeplearning4J,2,1,64,51664,1, 9.189,0.4724, 0.612,0.0965, 0.912,0.0000
Deeplearning4J,2,1,128,102544,1, 14.095,0.5950, 0.604,0.0703, 0.916,0.0000
