Model,archType,numL,numN,numP,numEpoch,timeTrainMean,timeTrainStd,timeTestMean,timTestStd,accMean,accStd
Tensorflow,2,1,512,407824,10, 32.5520,0.3356, 0.1000,0.0000, 0.9660,0.0049
Tensorflow,2,1,1024,814864,10, 53.7460,0.5717, 0.1840,0.0049, 0.9700,0.0000
Deeplearning4J,2,1,64,51664,1, 9.1894,0.4724, 0.6124,0.0965, 0.9122,0.0000
Deeplearning4J,2,1,128,102544,1, 14.0948,0.5950, 0.6044,0.0703, 0.9156,0.0000
Deeplearning4J,2,1,512,407824,1, 42.9990,0.5597, 0.7506,0.1018, 0.9185,0.0000
Deeplearning4J,2,1,1024,814864,1, 68.8124,0.6150, 0.8914,0.1097, 0.9203,0.0000
Deeplearning4J,2,1,64,51664,5, 44.2382,0.7854, 0.6218,0.0797, 0.9497,0.0000
Deeplearning4J,2,1,128,102544,5, 67.9110,0.8294, 0.6312,0.0760, 0.9558,0.0000
Deeplearning4J,2,1,512,407824,5, 215.7514,0.6518, 0.7476,0.1045, 0.9573,0.0000
Deeplearning4J,2,1,1024,814864,5, 344.1062,3.2034, 0.8740,0.0814, 0.9598,0.0000
Deeplearning4J,2,1,64,51664,10, 88.9324,0.5609, 0.5958,0.0728, 0.9671,0.0000
Deeplearning4J,2,1,128,102544,10, 138.2460,0.7931, 0.6296,0.1237, 0.9678,0.0000
Deeplearning4J,2,1,512,407824,10, 426.9674,1.3645, 0.7316,0.0723, 0.9721,0.0000
Deeplearning4J,2,1,1024,814864,10, 684.1486,1.7194, 0.9376,0.1225, 0.9734,0.0000
