Model,archType,numL,numN,numP,numEpoch,timeTrainMean,timeTrainStd,timeTestMean,timTestStd,accMean,accStd
Tensorflow,2,1,512,407824,1, 3.3100,0.0465, 0.1000,0.0000, 0.9100,0.0000
Tensorflow,2,1,1024,814864,1, 16.5220,0.4648, 0.2080,0.0133, 0.9160,0.0049
Tensorflow,2,1,64,51664,5, 4.5340,0.1122, 0.0300,0.0000, 0.9380,0.0040
Tensorflow,2,1,128,102544,5, 5.9840,0.1892, 0.0400,0.0000, 0.9400,0.0000
Tensorflow,2,1,512,407824,5, 15.4520,0.4244, 0.1080,0.0075, 0.9460,0.0049
Tensorflow,2,1,1024,814864,5, 73.2580,4.7507, 0.1880,0.0040, 0.9440,0.0080
Tensorflow,2,1,64,51664,10, 8.7960,0.0758, 0.0300,0.0000, 0.9460,0.0049
Tensorflow,2,1,128,102544,10, 12.4500,0.7150, 0.0420,0.0040, 0.9500,0.0063
Tensorflow,2,1,512,407824,10, 29.6560,0.9239, 0.1080,0.0075, 0.9560,0.0049
Tensorflow,2,1,1024,814864,10, 143.6340,3.4730, 0.1960,0.0080, 0.9520,0.0040
Deeplearning4J,2,1,64,51664,1, 11.0534,0.8024, 0.7976,0.1035, 0.9138,0.0000
Deeplearning4J,2,1,128,102544,1, 17.5704,0.8652, 0.8704,0.1718, 0.9125,0.0000
Deeplearning4J,2,1,512,407824,1, 50.0092,0.9918, 1.2068,0.1760, 0.9124,0.0000
Deeplearning4J,2,1,1024,814864,1, 74.9474,0.5479, 1.3804,0.0939, 0.9130,0.0000
Deeplearning4J,2,1,64,51664,5, 50.4844,0.8554, 0.7110,0.0653, 0.9465,0.0000
Deeplearning4J,2,1,128,102544,5, 80.1940,0.6614, 0.7434,0.0732, 0.9465,0.0000
Deeplearning4J,2,1,512,407824,5, 236.7704,2.3360, 1.1394,0.1169, 0.9353,0.0000
Deeplearning4J,2,1,1024,814864,5, 373.4740,4.0709, 1.3924,0.1212, 0.9283,0.0000
Deeplearning4J,2,1,64,51664,10, 95.7102,1.2463, 0.6862,0.1199, 0.9597,0.0000
Deeplearning4J,2,1,128,102544,10, 147.5786,1.0485, 0.6820,0.0429, 0.9611,0.0000
Deeplearning4J,2,1,512,407824,10, 467.4412,2.3009, 1.0314,0.0650, 0.9584,0.0000
Deeplearning4J,2,1,1024,814864,10, 729.1438,2.2181, 1.3574,0.0536, 0.9482,0.0000
